Number	Title	Directory	File	Updated?
0.1	Introduction		introduction	
0.2.1	My Site	LINK	https://charlierose.dev	
0.2.2	Other Notes and Reference	LINK	https://charlierose.dev/ref/	
0.3	When Using This Book		practice
0.4	Practice Problem Answers (OLD)		answers	
1	Number Bases	numbers	index	
1.1	Base-10	numbers	baseTen	X
1.2	Base-2	numbers	baseTwo	X
1.3	Base-16	numbers	baseSixteen	X
1.4	HTML Colors	numbers	colors	X
2	More on Binary	binary	index	
2.1	Negative Numbers	binary	negativebin	X
2.2	Fractional Binary	binary	fracBinary	
2.3	Addition and Subtration	binary	addSubBin	
3	Character Sets	ascii	index	
3.1	ASCII	ascii	ascii	
3.2	Unicode	ascii	unicode	
4	Boolean Algebra	booleanalgebra	index	
4.1	An Overview	booleanalgebra	boolEng	
4.2	Basic Operators	booleanalgebra	ttIntro	
4.2.1	Not	booleanalgebra	not	
4.2.2	Or	booleanalgebra	or	
4.2.3	And	booleanalgebra	and	
4.2.4	Nor	booleanalgebra	nor	
4.2.5	Nand	booleanalgebra	nand	
4.2.6	Xor	booleanalgebra	xor	
4.3	Complex Expressions	booleanalgebra	boolExpr	X
4.4	Half Adder	booleanalgebra	halfAdder	
4.5	Full Adder	booleanalgebra	fullAdder	
4.6	Arithmetic Logic Unit	booleanalgebra	alu	
4.7	Digital Logic Workbench	booleanalgebra	circuit	
4.8	Minecraft	booleanalgebra	minecraft	
5	The CARDIAC	cardiac	index	
5.1	The Hardware	cardiac	hardware	
5.2	Programming the CARDIAC	cardiac	program	
5.3	Assembly and Machine Language	cardiac	assMach	
6	Languages	languages	index	
6.1	Processing Language	languages	langInfo	
6.2	Markup Languages	languages	markup	
6.3	Programming Languages	languages	program	
6.4	Tranquility	languages	tranq	
6.4.1	TRANQC (1)	languages	tranqc	X
6.4.2	ALLOC (3)	languages	alloc	X
6.4.3	BUTTON (3)	languages	button	X
6.4.4	HTML (3)	languages	html	X
6.4.5	I2S (3)	languages	i2s	X
6.4.6	IMG (3)	languages	img	X
6.4.7	LABEL(3)	languages	label	X
6.4.8	PRINT (3)	languages	print	X
6.4.9	RANDOM (3)	languages	random	X
6.4.10	READ (3)	languages	read	X
6.4.11	TABLE (3)	languages	table	x
6.4.12	TIMER (3)	languages	timer	X
6.5	State and State Machines	languages	state	
8	Graphics	graphics	index	
8.1	Bresenham's	graphics	bresenham	
10	Cryptography	crypto	index	
10.1	RSA Math Background	crypto	math	X
10.2	RSA Key Generation	crypto	rsa_keygen	X
10.3	RSA Encryption	crypto	rsa	X
