Size	P Weight	P Height	G Weight	G Height	Not Mine	Letter	Date	Notes	IVs Before Trade	P Showcase Before	G Showcase Before	IVs After Trade	P Showcase After	G Showcase After
XXL	9.17	0.63	26.24	1.45	nm	l	d	n	ivb	psb	gsb	iva	osa	gsa
XS	5.38	0.37	13.85	0.84	nm	l	d	n	ivb	psb	gsb	iva	psa	gsa
XS	5.14	0.36	13.29	0.82	nm	l	d	n	ivb	psb	gsb	iva	psa	gsa
XL			21.55	1.33	nm	l	d	n	ivb	psb	gsb	iva	psa	gsa
XXL			35.87	1.49	nm	l	d	n	ivb	psb	gsb	iva	psa	gsa
XS			12.32	0.83	nm	l	2024-09-10	n	ivb	psb	gsb	12/12/13	psa	gsa
XL			21.59	1.30	nm	l	2023-10-12	n	14/15/15	psb	1397	iva	psa	gsa
XL	7.45	0.51					2023-10-12	n	14/13/10	1245	gsb	iva	psa	gsa
XXL			44.48	1.60			2023-10-26	Event	13/14/13	psb	2034	iva	psa	gsa
M			16.31	0.96			2023-10-26	Event	13/15/15	psb	1041	iva	psa	gsa
M	5.73	0.42					2023-10-27	Event	12/11/15	1023	gsb	iva	psa	gsa
XS	4.81	0.36					2023-10-28	Event	15/12/12	881	gsb	iva	psa	gsa
XS	3.80	0.34					2023-10-30	Event	11/14/15	809	gsb	iva	psa	gsa
XS			10.23	0.72			2023-10-30	Event	10/14/14	psb	770	iva	psa	gsa
XXL	13.96	0.65					2023-10-31	Event	8/15/14	1852	gsb	iva	psa	gsa
XXL			37.70	1.67			
XXL			39.53	1.55			
XXL	14.48	0.78	gw	gh	nm	l	2024-09-10		3/5/8	2091	gsb	iva	psa	gsa
XXL	15.56	0.80	gw	gh	nm	l	2024-09-10		ivb	psb	gsb	13/11/9	2169	gsa
XS	2.65	0.30	gw	gh	nm	l	2024-09-10	Lucky	ivb	psb	gsb	14/15/12	  713	gsa
XXL	15.80	0.80	gw	gh	nm	l	2024-09-16		ivb	psb	gsb	12/13/15	2189	gsa
XXL	18.64	0.79	gw	gh	nm	l	2024-09-17		ivb	psb	gsb	8/9/2	2207	gsa
XS	6.28	0.39			nm	l	d	n	ivb	psb	gsb	iva	psa	gsa
XXL			44.58	1.50	nm	l	d	n	ivb	psb	gsb	iva	psa	gsa
XS	2.95	0.32	7.83	0.74		D	d	n	ivb	psb	gsb	iva	psa	gsa
XS	5.70	0.39	14.30	0.89		E	d	n	ivb	psb	gsb	iva	psa	gsa
XS	5.53	0.39	13.91	0.89		F	d	n	ivb	psb	gsb	iva	psa	gsa
XXL	12.55	0.74	33.48	1.61			d	n	ivb	psb	gsb	iva	psa	gsa
XS	3.99	0.33	10.60	0.75	X		d	n	ivb	psb	gsb	iva	psa	gsa
XL	10.19	0.56	20.41	1.28			d	n	ivb	psb	gsb	iva	psa	gsa
XXL	11.60	0.70	31.65	1.54		H	d	n	ivb	psb	gsb	iva	psa	gsa
XS	4.17	0.34	10.89	0.79		I	d	n	ivb	psb	gsb	iva	psa	gsa
XL	8.93	0.56	18.18	1.29		J	d	n	ivb	psb	gsb	iva	psa	gsa
XL	8.35	0.55	16.66	1.24		K	d	n	ivb	psb	gsb	iva	psa	gsa
XS	4.00	0.34	10.50	0.77		L	d	n	ivb	psb	gsb	iva	psa	gsa
M	5.77	0.42	14.29	0.94		M	d	n	ivb	psb	gsb	iva	psa	gsa
XL	8.91	0.53	17.18	1.18		N	d	n	ivb	psb	gsb	iva	psa	gsa
XL	10.45	0.57	21.24	1.32		O	d	n	ivb	psb	gsb	iva	psa	gsa
XXL	14.86	0.80	38.64	1.70		GavetoSummer(newrecordmaxsize?)	d	n	ivb	psb	gsb	iva	psa	gsa
XXL	11.70	0.71	31.75	1.56	X	FromSummer	d	n	ivb	psb	gsb	iva	psa	gsa
XL	10.89	0.59	22.47	1.36		P	d	n	ivb	psb	gsb	iva	psa	gsa
M	4.83	0.42	11.95	0.94		Q	d	n	ivb	psb	gsb	iva	psa	gsa
XS	10.31	0.57	20.86	1.30		R	d	n	ivb	psb	gsb	iva	psa	gsa
XXL	11.37	0.65	31.66	1.48		S	d	n	ivb	psb	gsb	iva	psa	gsa
XL	9.05	0.50	16.91	1.10		T	d	n	ivb	psb	gsb	iva	psa	gsa
XL	8.69	0.58	18.12	1.33		U	d	n	ivb	psb	gsb	iva	psa	gsa
M	4.85	0.41	12.05	0.92		V	d	n	ivb	psb	gsb	iva	psa	gsa
XL	8.91	0.58	18.44	1.33		W	d	n	ivb	psb	gsb	iva	psa	gsa
M	6.78	0.44	16.62	0.99		X	d	n	ivb	psb	gsb	iva	psa	gsa
M	7.68	0.49	18.47	1.07		Y	d	n	ivb	psb	gsb	iva	psa	gsa
