Pokedex	Pokemon	Type	Rarity	HoloFoil	Rarity Extra	Set No.	Artist	Damaged	Price	Date
711	Gourgeist	P				2/30	5ban Graphics			
24	Arbok	P	3			3/30	Naoki Saito		$2.56	
659	Bunnelby	N				4/30	5ban Graphics			
710	Pumpkaboo	P				11/30	5ban Graphics			
T	Potion	I				15/30	5ban Graphics			
23	Ekans	P	1			16/30	Shigenori Negishi		$2.19	
676	Forfrou	N				20/30	5ban Graphics			
T	Poke Ball	I				21/30	5ban Graphics			
714	Noibat	N				23/30	5ban Graphics			
T	Dark Energy	D				28/30				
715	Noivern	Dr		Art		30/30	5ban Graphics			
