Name	Year	Set Count	Total Cards	Completed	Supplemental	Special
Ruby and Sapphire	2003	109	109			
Sandstorm	2003	100	100			
Dragon	2003	97	100			
Team Magma vs Aqua	2004	95	97			
Hidden Legends	2004	101	102			
Fire Red and Leaf Green	2004	112	116			
Team Rocket Returns	2004	109	111			
Deoxys	2005	107	108			
Emerald	2005	106	107			
Unseen Forces	2005	115	117			
Delta Species	2005	113	114			
Legend Maker	2006	92	93			
Holon Phantoms	2006	110	111			
Crystal Guardians	2006	100	100			
Dragon Frontiers	2006	101	101			
Power Keepers	2007	108	108			
