Pokedex	Pokemon	Type	Rarity	HoloFoil	Rarity Extra	Set No.	Artist	Damaged	Price	Date
101	Electrode	G	2		Hisuian	003	Akira Komayama			11/3/2022
193	Yanma	G	1			006	OKACHEKE			11/3/2022
401	Kricketot	G	1			009	Masakazu Fukuda			11/3/2022
415	Combee	G	1			011	sowsow			11/3/2022
548	Petilil	G	1			015	Yukiko Baba			11/3/2022
549	Lilligant	G	3	Holo	Hisuian	016	Mizue			11/3/2022
54	Psyduck	W	1			028	GOSSAN			11/3/2022
55	Golduck	W	2			029	otumami			11//3/2022
221	Piloswine	W	2			032	yuu			11//3/2022
501	Oshawatt	W	1			041	Saya Tsuruta			11//3/2022
712	Bergmite	W	1			047	Kouki Saitou			11//3/2022
157	Typhlosion V	P	5	Full	Full Art / Hisuian	053	Shin Nagasawa			11//3/2022
468	Togekiss	P	3	Holo		057	sui			11//3/2022
200	Misdreavus	P	1		Trick or Trade Promo	058	AKIRA EGAWA			10/31/2022
429	Mismagius	P	3	Holo	Trick or Trade Promo	059	Ligton			10/31/2022
280	Ralts	P	1			060	Hataya			11//3/2022
425	Drifloon	P	1			063	Narumi Sato			11//3/2022
185	Sudowoodo	Fg	1			074	HYOGONOSUKE			11//3/2022
450	Hippowdon	Fg	2	Reverse		080	Kyoko Umemoto			11//3/2022
904	Overqwil	D	2		Hisuian	090	AKIRA EGAWA			11//3/2022
261	Poochyena	D	1			095	KIYOTAKA OSHIYAMA			11//3/2022
262	Mightyena	D	3			096	otumami			11//3/2022
827	Nickit	D	1		Trick or Trade Promo	103	Naoyo Kimura			10/31/2022
828	Thievul	D	3	Reverse		104	KIYOTAKA OSHIYAMA			11//3/2022
81	Magnemite	Sl	1			105	Mitsuhiro Arita			11//3/2022
624	Pawniard	Sl	1			115	Tomokazu Komiya			11//3/2022
163	Hoothoot	N	1			120	Pani Kobayashi			11//3/2022
164	Noctowl	N	2	Reverse		121	Nisota Niso			11//3/2022
234	Stantler	N	1			125	Teeziro			11//3/2022
T	Canceling Cologne	I	2			136	Studio Bora Inc.			11//3/2022
T	Grant	Su	2			144	Hideki Ishikawa			11//3/2022
T	Kamado	Su	2			149	Hitoshi Ariga			11//3/2022
T	Sweet Honey	I	2			153	ORBITALLINK Inc.			11//3/2022
T	Unidentified Fossil	I	2			157	AYUMI ODASHIMA			11//3/2022
T	Zisu	Su	2	Reverse		159	kirisAki			11//3/2022
