Pokedex	Pokemon	Type	Rarity	HoloFoil	Rarity Extra	Set No.	Artist	Damaged	Price	Date			11/22/2022
44	Gloom	G	2			002	Tomokazu Komiya			11/22/2022
265	Wurmple	G	1			006	ryoma uratsuka			11/22/2022
273	Seedot	G	1			011	Yuka Morii			11/22/2022
274	Nuzleaf	G	2			012	Mizue			11/22/2022
407	Roserade	G	2			015	0313			11/22/2022
708	Phantump	G	1			016	AKIRA EGAWA			11/22/2022
824	Blipbug	G	1	Reverse		018	Asako Ito			11/22/2022
609	Chandelure	F	3	Reverse		026	sui			11/22/2022
667	Litleo	F	1			028	Sekio			11/22/2022
61	Poliwhirl	W	2			031	Scav			11/22/2022
186	Politoed	W	3			032	ryoma uratsuka			11/22/2022
116	Horsea	W	1			035	Tika Matsuno			11/22/2022
422	Shellos	W	1			039	Saya Tsuruta			11/22/2022
456	Finneon	W	1	Reverse		040	Taira Akitsu			11/22/2022
459	Snover	W	1			042	Mitsuhiro Arita			11/22/2022
460	Abomasnow	W	2			043	kodama			11/22/2022
580	Ducklett	W	1			046	Yuka Morii			11/22/2022
581	Swanna	W	2	Reverse		047	Sekio			11/22/2022
309	Electrike	El	1			054	otumami			11/22/2022
602	Tynamo	El	1			059	Yukiko Baba			11/22/2022
603	Eelektrik	El	2			060	Uta			11/22/2022
92	Gastly	P	1			064	Tika Matsuno			11/22/2022
93	Haunter	P	2			065	Kouki Saitou			11/22/2022
124	Jynx	P	1			068	Nagomi Nijo			11/22/2022
302	Sableye	P	3	Reverse		070	Shibuzoh.			11/22/2022
353	Shuppet	P	1			072	Kouki Saitou			11/22/2022
570	Zorua	P	1		Hisuian	075	Akira Komayama			11/22/2022
897	Spectrier	P	3	Holo		081	Narumi Sata			11/22/2022
112	Rhydon	Fg	2			090	HYOGONOSUKE			11/22/2022
185	Sudowoodo	Fg	1			094	AKIRA EGAWA			11/22/2022
207	Gligar	Fg	1			095	Miki Tanaka			11/22/2022
296	Makuhita	Fg	1			097	Shigenori Negishi			11/22/2022
297	Hariyama	Fg	2			098	Scav			11/22/2022
307	Meditite	Fg	1			099	0313			11/22/2022
308	Medicham	Fg	2			100	Kouki Saitou			11/22/2022
423	Gastrodon	Fg	2			102	Sanosuke Sakuma			11/22/2022
619	Mienfoo	Fg	1			103	yuu			11/22/2022
688	Binacle	Fg	1			106	Scav			11/22/2022
874	Stonjourner	Fg	3			111	HYOGONOSUKE			11/22/2022
198	Murkrow	D	1			114	Yuka Morii			11/22/2022
430	Honchkrow	D	3			115	Shiburingaru			11/22/2022
686	Inkay	D	1			121	Shibuzoh.			11/22/2022
436	Bronzor	Sl	1			125	Tomokazu Komiya			11/22/2022
437	Bronzong	Sl	2			126	AKIRA EGAWA			11/22/2022
487	Giratina V	Dr	5	Full	Full Art	130	5ban Graphics			11/22/2022
704	Goomy	Dr	1			132	Oswaldo KATO			11/22/2022
705	Sliggoo	Dr	2		Hisuian	133	Kouki Saitou			11/22/2022
137	Porygon	N	1			140	kurumitsu			11/22/2022
775	Komala	N	2	Reverse		149	HYOGONOSUKE			11/22/2022
819	Skwovet	N	1			150	Miki Tanaka			11/22/2022
T	Arc Phone	I	2			152	5ban Graphics			11/22/2022
T	Fantina	Su	2	Reverse		157	Ryuta Fuse			11/22/2022
T	Miss Fortune Sisters	Su	2			164	Souichirou Gunjima			11/22/2022
T	Riley	Su	2			166	Ken Sugimori			11/22/2022
T	Windup Arm	Su	2			170	Toyste Beach			11/22/2022
T	Gift Energy	N	2			171				11/22/2022
646	Kyurem VMax	W	5	Full	Rainbow Rare	197	N-Design Inc.			11/22/2022
T	Lady	Su	5	Full	Rainbow Rare	208	saino misaki			11/22/2022
T	Thorton	Su	5	Full	Rainbow Rare	210	Hideki Ishikawa			11/22/2022
