Pokedex	Pokemon	Type	Rarity	HoloFoil	Rarity Extra	Set No.	Artist	Damaged	Price	Date
11	Metapod	G	2			002	Asako Ito			4/25/2020
123	Scyther	G	1			004	KEIICHIRO ITO			5/16/2020
270	Lotad	G	1	Reverse		007	Sumiyoshi Kizuki			5/16/2020
271	Lombre	G	2			008	Miki Tanaka			4/25/2020
272	Ludicolo	G	3			009	Masakazu Fukuda			4/25/2020
283	Surskit	G	1			010	Masakazu Fukuda			4/25/2020
284	Masquerain	G	2			011	chibi			4/25/2020
459	Snover	G	1			012	Shibuzoh.			4/25/2020
708	Phantump	G	1	Reverse		014	sui			4/25/2020
709	Trevenant	G	3	Holo	Trick or Trade Promo	015	kawayoo			10/31/2022
736	Grubbin	G	1			016	Tomokazu Komiya			4/25/2020
812	Rillaboom V	G	5	Full	Full Art	017	5ban Graphics			4/25/2020
840	Applin	G	1	Reverse		020	Mizue			5/16/2020
840	Applin	G	1			021	Kagemaru Himeno			4/25/2020
841	Flapple	G	3	Art	GameStop Promo	022	Shin Nagasawa			3/19/2021
37	Vulpix	F	1			024	sui			4/25/2020
38	Ninetales	F	3			025	AKIRA EGAWA			5/16/2020
58	Growlithe	F	1			027	Ryota Murayama			4/25/2020
126	Magmar	F	1	Reverse		029	Shigenori Negishi			4/25/2020
607	Litwick	F	1	Reverse		031	Sekio			5/11/2021
607	Litwick	F	1		Trick or Trade Promo	031	Sekio			10/31/2022
608	Lampent	F	2		Trick or Trade Promo	032	Kyoko Umemoto			10/31/2022
609	Chamdelure	F	3	Holo	Trick or Trade Promo	033	Toira Akitsu			10/31/2022
631	Heatmor	F	2	Reverse		034	Satoshi Shirai			4/25/2020
122	Mr. Mime	W	1		Galarian	037	kirisAki			4/25/2020
866	Mr. Rime	W	3		Galarian	038	Mitsuhiro Arita			5/11/2021
129	Magikarp	W	1			039	kanahei			4/25/2020
278	Wingull	W	1			041	0313			4/25/2020
279	Pelipper	W	2			042	Eri Yamaki			5/16/2020
535	Tympole	W	1			044	Aya Kusube			4/25/2020
536	Palpitoad	W	2			045	MAHOU			4/25/2020
