Pokedex	Pokemon	Type	Rarity	HoloFoil	Rarity Extra	Set No.	Artist	Damaged	Price	Date
548	Petilil	G	1			009	HYOGONOSUKE			12/08/2022
590	Foongus	G	1			011	Saya Tsuruta			12/08/2022
736	Radiant Tsareena	G	5	Full		016	Kagemaru Himeno			12/08/2022
38	Ninetales	F	2			018	Shiburingaru			12/08/2022
58	Growlithe	F	1			019	sowsow			12/08/2022
654	Braixen	F	2			026	Ligton			12/08/2022
663	Talonframe	F	3			029	KEIICHIRO ITO			12/08/2022
726	Torracat	F	2			031	GIDORA			12/08/2022
727	Incineroar	F	3			032	Hideki Ishikawa			12/08/2022
320	Wailmer	W	1			037	Jiro Sasumo			12/08/2022
321	Wailord	W	2			038	Shimya Komatsu			12/08/2022
349	Feebas	W	1	Reverse		039	0313			12/08/2022
369	Relicanth	W	1			044	SATOSHI NAKAI			12/08/2022
25	Pikachu	El	1			049	Souichirou Gunjima			12/08/2022
65	Radiant Alakazam	P	5	Full		059	Akira Komayama			12/08/2022
280	Ralts	P	1			067	Nagomi Nijo			12/08/2022
281	Kirlia	P	2	Reverse		068	Yukiko Baba			12/08/2022
282	Gardevoir	P	3			069	Mitsuhiro Arita			12/08/2022
561	Sigilyph	P	2			075	Yuya Oka			12/08/2022
577	Solosis	P	1			076	Ligton			12/08/2022
578	Duosion	P	2			077	Pani Kobayashi			12/08/2022
605	Elgyem	P	1			079	Shigenori Negishi			12/08/2022
606	Beheeyem	P	2			080	Shinji Kanda			12/08/2022
678	Meowstic	P	2			082	Taira Akitsu			12/08/2022
886	Drakloak	P	2			088	kurumitsu			12/08/2022
232	Donphan	Fg	2			092	Anesaki Dynamic			12/08/2022
344	Claydol	Fg	2			094	Nisota Nisa			12/08/2022
701	Hawlucha	Fg	1			098	Teeziro			12/08/2022
769	Sandygast	Fg	1			099	Sekio			12/08/2022
41	Zubat	D	1			103	Shigenori Negishi			12/08/2022
42	Golbat	D	2			104	Anesaki Dynamic			12/08/2022
453	Croagunk	D	1			109	Shin Nagasawa			12/08/2022
375	Metang	Sl	2			118	Shin Nagasawa			12/08/2022
599	Klink	Sl	1			123	Kyoko Umemoto			12/08/2022
601	Klinklang	Sl	3			125	Akira Komayama			12/08/2022
638	Cobalion	Sl	3			126	Shin Nagasawa			12/08/2022
777	Togedemaru	Sl	1			127	kawayoo			12/08/2022
147	Dratini	Dr	1			129	kurumitsu			12/08/2022
148	Dragonair	Dr	2			130	Shinya Komatsu			12/08/2022
333	Swablu	N	1	Reverse		142	Miki Tanaka			12/08/2022
567	Archeops	N	3	Reverse		147	Masakazu Fukuda			12/08/2022
628	Braviary	N	3		Hisuian	149	Jiro Sasumo			12/08/2022
T	Earthen Seal Stone	I	3	Holo		154	AYUMI ODASHIMA			12/08/2022
T	Gym Trainer	Su	2			158	Hideki Ishikawa			12/08/2022
T	Professor Laventon	Su	2			162	Ken Sugimori			12/08/2022
T	Unidentified Fossil	I	2			165	AYUMI ODASHIMA			12/08/2022
T	V Guard Energy	N	2	Reverse		169				12/08/2022
