Name	Year	Set Count	Total Cards	Completed	Supplemental	Special
Sword & Shield	2020	202	216		Base Set	
Rebel Clash	2020	192	209			
Darkness Ablaze	2020	189	189			
Champions Path	2020	73	80			
Vivid Voltage	2020	185	203			
Shining Fates	2021	72	73			X
Shining Fates	2021	SV122	122		Shiny Vault	X
Battle Styles	2021	163	183			
Chilling Reign	2021	198				
Evolving Skies	2021	203	237			
Celebrations	2021	25	50			X
Pokemon 25 Partner Packs	2021	25	25			X
Fusion Strike	2021	264				
Brilliant Stars	2022	172	186			
Brilliant Stars	2022	TG30	30		Trainer Gallery	
Astral Radiance	2022	189	216			
Pokemon Go	2022	78	88			X
Lost Origin	2022	196				
Lost Origin	2022	TG30			Trainer Gallery	
Silver Tempest	2022	195				
Silver Tempest	2022	TG30			Trainer Gallery	
Crown Zenith	2023	159		0		X
Crown Zenith	2023	70		0	Galarian Gallery	X
