Name	Year	Set Count	Total Cards	Completed	Supplemental	Special
XY	2014	146	146		Base Set	
Kalos Starter Set	2013	39	39			X
Flashfire	2014	106	109			
Furious Fists	2014	111	113			
Phantom Forces	2014	119	122			
Primal Clash	2015	160	164			
Double Crisis	2015	34	34			X
Roaring Skies	2015	108	110			
Ancient Origins	2015	98	100			
BREAKthrough	2015	162	164			
BREAKpoint	2016	122	123			
Generations	2016	83	83			X
Generations	2016	RC32	32		Radiant Collection	X
Fates Collide	2016	124	125			
Steam Siege	2016	114	116			
Evolutions	2016	108	113			
